epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2907.75,2.36784,1.79683,2.43814,0.8036,0.77802,0.83826,0.55467,2.55094,1.95666,2.67421,0.00035056,0.00035056,0.00035056
166,2922.36,2.37116,1.80138,2.42512,0.77492,0.79352,0.85638,0.58156,2.48687,1.80849,2.62888,0.0003466,0.0003466,0.0003466
167,2936.47,2.37798,1.82037,2.46372,0.86294,0.829,0.8716,0.5703,2.46542,1.83487,2.62582,0.00034264,0.00034264,0.00034264
168,2968.92,2.34865,1.80156,2.45086,0.80046,0.7429,0.82355,0.55745,2.49574,1.64304,2.64743,0.00033868,0.00033868,0.00033868
169,2993.31,2.31109,1.71679,2.41586,0.7116,0.84658,0.86801,0.56913,2.52031,1.59475,2.66879,0.00033472,0.00033472,0.00033472
170,3007.84,2.32717,1.7354,2.40683,0.83127,0.70994,0.83744,0.55389,2.48111,1.83625,2.6435,0.00033076,0.00033076,0.00033076
171,3022.2,2.30002,1.72649,2.41005,0.80757,0.84201,0.86496,0.57208,2.4969,1.70327,2.62328,0.0003268,0.0003268,0.0003268
172,3036.28,2.40382,1.84693,2.44449,0.77947,0.77068,0.83708,0.55633,2.61215,1.80032,2.73705,0.00032284,0.00032284,0.00032284
173,3050.44,2.28711,1.70911,2.39962,0.78122,0.77245,0.83534,0.58044,2.49305,1.69754,2.63228,0.00031888,0.00031888,0.00031888
174,3064.51,2.32638,1.77028,2.41708,0.82683,0.76334,0.82273,0.55076,2.5565,1.77051,2.71736,0.00031492,0.00031492,0.00031492
175,3078.61,2.36247,1.83256,2.44181,0.80637,0.78927,0.86731,0.58586,2.48977,1.72434,2.64686,0.00031096,0.00031096,0.00031096
176,3092.74,2.30738,1.82724,2.43639,0.78435,0.83882,0.87224,0.58775,2.42088,1.789,2.60313,0.000307,0.000307,0.000307
177,3106.79,2.38495,1.89739,2.48526,0.75735,0.86585,0.88067,0.57372,2.56655,1.67339,2.69484,0.00030304,0.00030304,0.00030304
178,3120.87,2.3406,1.83271,2.43484,0.80686,0.85158,0.87943,0.5918,2.47071,1.51304,2.61864,0.00029908,0.00029908,0.00029908
179,3134.96,2.34415,1.7893,2.40527,0.85423,0.85454,0.89148,0.60264,2.43194,1.65712,2.59974,0.00029512,0.00029512,0.00029512
180,3149.24,2.35393,1.77654,2.41369,0.7692,0.85797,0.87857,0.59255,2.40807,1.54108,2.59377,0.00029116,0.00029116,0.00029116
